,name,team,innings,ballsfaced,batting_sr,batting_avg,PaPP0,PaPPW,PaPP6,PaPP4,PaPP1,PaPPE,PaPP2,PaPP3,PaPP5,PaMO0,PaMOW,PaMO6,PaMO4,PaMO1,PaMOE,PaMO2,PaMO3,PaMO5,PaDO0,PaDOW,PaDO6,PaDO4,PaDO1,PaDOE,PaDO2,PaDO3,PaDO5,SpPP0,SpPPW,SpPP6,SpPP4,SpPP1,SpPPE,SpPP2,SpPP3,SpPP5,SpMO0,SpMOW,SpMO6,SpMO4,SpMO1,SpMOE,SpMO2,SpMO3,SpMO5,SpDO0,SpDOW,SpDO6,SpDO4,SpDO1,SpDOE,SpDO2,SpDO3,SpDO5,type
57,BM Duckett,England,7,146,159.59,46.6,411 - 452,453 - 456,-,461 - 552,553 - 644,645 - 652,653 - 666,-,-,-,-,-,411 - 433,434 - 654,-,655 - 666,-,-,411 - 454,-,455 - 466,511 - 522,523 - 626,-,631 - 666,-,-,411 - 452,453 - 456,-,461 - 552,553 - 644,645 - 652,653 - 666,-,-,-,411 - 416,421 - 421,422 - 465,466 - 642,643 - 643,644 - 666,-,-,411 - 454,-,455 - 466,511 - 522,523 - 626,-,631 - 666,-,-,
58,BM Scholtz,Namibia,5,28,60.71,17.0,411 - 641,642 - 642,-,643 - 643,644 - 665,-,666 - 666,-,-,411 - 641,642 - 642,-,643 - 643,644 - 665,-,666 - 666,-,-,411 - 641,642 - 642,-,643 - 643,644 - 665,-,666 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,Bowler
59,BM Tickner,New Zealand,2,12,41.67,5.0,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 533,534 - 555,-,-,556 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 533,534 - 555,-,-,556 - 666,-,-,-,-,
60,BN Cooper,Netherlands,2,9,100.0,4.5,411 - 531,-,-,532 - 621,-,622 - 666,-,-,-,411 - 531,-,-,532 - 621,-,622 - 666,-,-,-,411 - 531,-,-,532 - 621,-,622 - 666,-,-,-,-,411 - 566,-,-,611 - 666,-,-,-,-,-,411 - 566,-,-,611 - 666,-,-,-,-,-,411 - 566,-,-,611 - 666,-,-,-,-,
61,BOP Fernando,Sri Lanka,1,27,70.37,19.0,411 - 616,-,621 - 623,-,624 - 636,641 - 646,651 - 666,-,-,411 - 523,524 - 551,-,-,552 - 642,643 - 666,-,-,-,411 - 523,524 - 551,-,-,552 - 642,643 - 666,-,-,-,411 - 616,-,621 - 623,-,624 - 636,641 - 646,651 - 666,-,-,411 - 523,524 - 551,-,-,552 - 642,643 - 666,-,-,-,411 - 523,524 - 551,-,-,552 - 642,643 - 666,-,-,-,
62,BR McDermott,Australia,11,180,95.0,17.1,411 - 566,611 - 612,-,613 - 622,623 - 655,-,656 - 666,-,-,411 - 431,432 - 441,442 - 444,445 - 451,452 - 646,651 - 656,661 - 666,-,-,411 - 533,-,-,534 - 566,611 - 655,-,656 - 666,-,-,411 - 556,561 - 566,611 - 613,614 - 616,621 - 654,655 - 661,662 - 666,-,-,411 - 512,513 - 525,526 - 542,543 - 545,546 - 644,-,645 - 666,-,-,411 - 533,-,-,534 - 566,611 - 655,-,656 - 666,-,-,
63,BRM Taylor,Zimbabwe,2,29,86.21,12.5,-,411 - 436,-,-,441 - 666,-,-,-,-,411 - 623,-,-,-,624 - 666,-,-,-,-,411 - 433,434 - 446,-,451 - 521,522 - 635,636 - 653,654 - 666,-,-,-,411 - 436,-,-,441 - 666,-,-,-,-,411 - 623,-,-,-,624 - 666,-,-,-,-,411 - 433,434 - 446,-,451 - 521,522 - 635,636 - 653,654 - 666,-,-,
64,BTJ Wheal,Scotland,3,6,50.0,3.0,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 555,-,-,-,556 - 666,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 555,-,-,-,556 - 666,-,-,-,-,Bowler
65,Babar Azam,Pakistan,44,1185,129.37,38.33,411 - 465,466 - 512,513 - 513,514 - 545,546 - 643,644 - 653,654 - 665,666 - 666,-,411 - 421,422 - 424,425 - 431,432 - 463,464 - 635,636 - 646,651 - 665,666 - 666,-,411 - 425,426 - 442,443 - 452,453 - 521,522 - 622,623 - 635,636 - 666,-,-,411 - 534,535 - 542,-,543 - 555,556 - 654,655 - 663,664 - 666,-,-,411 - 433,434 - 436,441 - 445,446 - 462,463 - 645,646 - 653,654 - 666,-,-,411 - 443,444 - 524,525 - 544,545 - 564,565 - 645,-,646 - 666,-,-,Batter c
66,Basil Hameed,United Arab Emirates,11,131,128.24,21.0,411 - 666,-,-,-,-,-,-,-,-,411 - 452,453 - 513,514 - 515,516 - 532,533 - 642,643 - 653,654 - 666,-,-,411 - 516,521 - 525,526 - 544,545 - 563,564 - 644,645 - 646,651 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 434,-,435 - 444,445 - 451,452 - 651,652 - 661,662 - 666,-,-,411 - 516,521 - 525,526 - 544,545 - 563,564 - 644,645 - 646,651 - 666,-,-,Batter
67,C Campher,Ireland,17,241,128.63,23.85,411 - 546,551 - 553,-,554 - 621,622 - 656,661 - 663,664 - 666,-,-,411 - 415,416 - 424,425 - 431,432 - 454,455 - 622,623 - 636,641 - 663,-,664 - 666,411 - 425,426 - 451,452 - 454,455 - 531,532 - 622,623 - 633,634 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 425,426 - 435,436 - 443,444 - 452,453 - 634,635 - 644,645 - 663,664 - 666,-,-,-,-,411 - 526,531 - 566,611 - 626,631 - 646,651 - 666,-,Allrounder
68,C Floyd,Netherlands,1,1,100.0,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,
69,C Green,Australia,7,78,174.36,19.43,411 - 423,424 - 444,445 - 465,466 - 546,551 - 632,633 - 656,661 - 666,-,-,411 - 523,524 - 541,542 - 556,561 - 614,615 - 666,-,-,-,-,411 - 523,524 - 541,542 - 556,561 - 614,615 - 666,-,-,-,-,411 - 462,463 - 513,-,514 - 633,634 - 666,-,-,-,-,411 - 563,564 - 613,614 - 641,642 - 651,652 - 666,-,-,-,-,411 - 563,564 - 613,614 - 641,642 - 651,652 - 666,-,-,-,-,Allrounder
70,C Karunaratne,Sri Lanka,27,227,101.76,12.83,411 - 434,435 - 463,464 - 513,514 - 523,524 - 641,642 - 651,652 - 666,-,-,411 - 434,435 - 463,464 - 513,514 - 523,524 - 641,642 - 651,652 - 666,-,-,411 - 453,454 - 466,511 - 515,516 - 526,531 - 626,631 - 644,645 - 666,-,-,411 - 612,613 - 616,621 - 621,-,622 - 655,656 - 662,663 - 666,-,-,411 - 612,613 - 616,621 - 621,-,622 - 655,656 - 662,663 - 666,-,-,411 - 543,544 - 546,551 - 555,556 - 562,563 - 651,-,652 - 666,-,-,Allrounder
71,C Madande,Zimbabwe,1,11,18.18,2.0,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,WK Batter
72,C Sakariya,India,1,9,55.56,-,411 - 463,-,-,-,464 - 645,646 - 666,-,-,-,411 - 463,-,-,-,464 - 645,646 - 666,-,-,-,411 - 463,-,-,-,464 - 645,646 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,
73,C de Grandhomme,New Zealand,5,25,72.0,3.6,411 - 554,555 - 632,-,-,633 - 666,-,-,-,-,411 - 416,421 - 433,434 - 446,-,451 - 653,-,654 - 666,-,-,411 - 416,421 - 433,434 - 446,-,451 - 653,-,654 - 666,-,-,411 - 554,555 - 632,-,-,633 - 666,-,-,-,-,411 - 616,621 - 654,-,-,655 - 666,-,-,-,-,411 - 616,621 - 654,-,-,655 - 666,-,-,-,-,
74,CA Young,Ireland,10,54,81.48,4.4,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,411 - 541,542 - 565,566 - 613,614 - 623,624 - 645,646 - 653,654 - 666,-,-,411 - 542,543 - 611,-,-,612 - 641,642 - 666,-,-,-,411 - 542,543 - 611,-,-,612 - 641,642 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
75,CB Sole,Scotland,1,1,200.0,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,Bowler
76,CBRLS Kumara,Sri Lanka,2,3,33.33,1.0,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 623,-,-,-,624 - 666,-,-,-,-,411 - 623,-,-,-,624 - 666,-,-,-,-,411 - 623,-,-,-,624 - 666,-,-,-,-,Bowler
77,CD Wallace,Scotland,2,38,71.05,13.5,411 - 614,615 - 622,-,-,623 - 666,-,-,-,-,411 - 523,-,524 - 535,536 - 551,552 - 654,655 - 666,-,-,-,411 - 523,-,524 - 535,536 - 551,552 - 654,655 - 666,-,-,-,411 - 614,615 - 622,-,-,623 - 666,-,-,-,-,411 - 516,521 - 535,-,-,536 - 666,-,-,-,-,411 - 516,521 - 535,-,-,536 - 666,-,-,-,-,WK Batter
78,CE McConchie,New Zealand,4,28,114.29,16.0,411 - 623,624 - 645,-,-,-,646 - 666,-,-,-,411 - 623,624 - 645,-,-,-,646 - 666,-,-,-,411 - 453,-,-,454 - 522,523 - 631,632 - 641,642 - 656,661 - 666,-,411 - 616,621 - 643,-,-,644 - 666,-,-,-,-,411 - 616,621 - 643,-,-,644 - 666,-,-,-,-,411 - 453,-,-,-,454 - 536,-,541 - 666,-,-,
79,CG Williams,Namibia,15,345,105.22,25.93,411 - 542,543 - 545,-,546 - 565,566 - 654,655 - 663,664 - 665,666 - 666,-,411 - 461,462 - 465,466 - 515,516 - 523,524 - 641,642 - 653,654 - 666,-,-,411 - 546,551 - 564,-,-,565 - 635,636 - 653,-,654 - 666,-,411 - 526,531 - 534,535 - 542,543 - 565,566 - 643,644 - 662,663 - 666,-,-,411 - 521,522 - 526,531 - 534,535 - 546,551 - 643,644 - 646,651 - 664,665 - 666,-,411 - 546,551 - 564,-,-,565 - 635,636 - 653,-,654 - 666,-,
80,CH Gayle,West Indies,21,240,113.33,15.11,411 - 536,541 - 551,552 - 556,561 - 616,621 - 644,645 - 656,661 - 666,-,-,411 - 521,522 - 535,536 - 553,554 - 562,563 - 651,652 - 666,-,-,-,-,411 - 453,-,-,454 - 623,624 - 666,-,-,-,411 - 556,561 - 564,565 - 613,614 - 622,623 - 662,663 - 666,-,-,-,411 - 523,524 - 533,534 - 552,553 - 561,562 - 654,655 - 666,-,-,-,-,411 - 453,-,-,454 - 623,624 - 666,-,-,-,
81,CJ Jordan,England,16,118,146.61,15.73,411 - 523,524 - 526,531 - 536,541 - 554,555 - 645,646 - 655,656 - 666,-,-,411 - 523,524 - 526,531 - 536,541 - 554,555 - 645,646 - 655,656 - 666,-,-,411 - 423,424 - 445,446 - 464,465 - 532,533 - 625,626 - 636,641 - 666,-,-,411 - 534,535 - 542,543 - 546,551 - 554,555 - 645,-,646 - 666,-,-,411 - 534,535 - 542,543 - 546,551 - 554,555 - 645,-,646 - 666,-,-,411 - 545,546 - 613,-,-,614 - 641,642 - 666,-,-,-,Bowler
82,CN Ackermann,Netherlands,6,79,93.67,12.33,411 - 666,-,-,-,-,-,-,-,-,411 - 465,466 - 514,-,515 - 525,526 - 652,653 - 664,665 - 666,-,-,411 - 416,421 - 443,444 - 465,-,466 - 554,555 - 621,622 - 666,-,-,-,411 - 466,-,511 - 566,611 - 666,-,-,-,-,411 - 422,423 - 444,-,-,445 - 644,645 - 655,-,656 - 666,-,411 - 416,421 - 443,444 - 465,-,466 - 554,555 - 621,622 - 666,-,-,Allrounder
83,CN Greaves,Scotland,9,162,110.49,25.57,411 - 632,-,-,-,-,633 - 651,652 - 666,-,-,411 - 635,-,-,636 - 642,643 - 656,661 - 662,663 - 666,-,-,411 - 452,453 - 462,463 - 464,465 - 521,522 - 641,642 - 656,661 - 666,-,-,411 - 654,-,-,-,655 - 666,-,-,-,-,411 - 466,511 - 514,515 - 524,525 - 542,543 - 642,643 - 651,652 - 665,-,666 - 666,-,411 - 536,-,-,541 - 666,-,-,-,-,Bowler
84,CP Rizwan,United Arab Emirates,7,102,118.63,24.2,411 - 615,616 - 632,-,-,633 - 662,-,663 - 666,-,-,411 - 432,433 - 443,444 - 451,452 - 513,514 - 643,-,644 - 666,-,-,411 - 446,451 - 454,455 - 462,463 - 515,516 - 632,633 - 645,646 - 662,663 - 666,-,411 - 554,-,-,555 - 632,633 - 666,-,-,-,-,411 - 411,-,412 - 415,416 - 423,424 - 653,-,654 - 666,-,-,411 - 446,451 - 454,455 - 462,463 - 515,516 - 632,633 - 645,646 - 662,663 - 666,-,Batter c
85,CR Ervine,Zimbabwe,21,398,110.55,20.95,411 - 543,544 - 546,551 - 551,552 - 566,611 - 645,646 - 662,663 - 666,-,-,-,411 - 421,422 - 423,424 - 446,451 - 626,631 - 653,654 - 664,665 - 666,-,411 - 416,-,421 - 431,432 - 454,455 - 621,622 - 643,644 - 666,-,-,411 - 515,516 - 532,533 - 535,536 - 555,556 - 641,642 - 653,654 - 663,664 - 666,-,411 - 454,455 - 465,466 - 513,514 - 526,531 - 651,652 - 653,654 - 665,666 - 666,-,-,-,411 - 436,-,441 - 666,-,-,-,-,Batter c
86,CR Woakes,England,3,20,150.0,15.0,411 - 434,-,-,-,435 - 631,632 - 666,-,-,-,411 - 434,-,-,-,435 - 631,632 - 666,-,-,-,411 - 463,464 - 523,524 - 544,545 - 564,565 - 656,-,661 - 666,-,-,411 - 434,-,-,-,435 - 631,632 - 666,-,-,-,411 - 434,-,-,-,435 - 631,632 - 666,-,-,-,411 - 463,464 - 523,524 - 544,545 - 564,565 - 656,-,661 - 666,-,-,Allrounder
87,CS MacLeod,Scotland,11,144,90.28,14.44,411 - 522,523 - 542,543 - 546,551 - 562,563 - 646,651 - 666,-,-,-,411 - 462,463 - 512,-,513 - 536,541 - 645,646 - 652,653 - 666,-,-,411 - 533,534 - 544,545 - 555,-,556 - 621,622 - 655,656 - 666,-,-,-,411 - 436,-,-,441 - 566,611 - 636,641 - 666,-,-,411 - 533,534 - 536,-,541 - 544,545 - 661,-,662 - 665,666 - 666,-,411 - 533,534 - 544,545 - 555,-,556 - 621,622 - 655,656 - 666,-,-,Batter
88,CV Varun,India,1,2,0.0,0.0,411 - 623,624 - 666,-,-,-,-,-,-,-,411 - 623,624 - 666,-,-,-,-,-,-,-,411 - 623,624 - 666,-,-,-,-,-,-,-,411 - 623,624 - 666,-,-,-,-,-,-,-,411 - 623,624 - 666,-,-,-,-,-,-,-,411 - 623,624 - 666,-,-,-,-,-,-,-,
89,Chirag Suri,United Arab Emirates,11,181,92.27,12.85,411 - 555,556 - 563,-,564 - 623,624 - 656,661 - 664,665 - 665,666 - 666,-,411 - 514,515 - 541,-,-,542 - 631,-,632 - 666,-,-,411 - 514,515 - 541,-,-,542 - 631,-,632 - 666,-,-,411 - 564,565 - 622,-,623 - 635,636 - 661,-,662 - 666,-,-,-,411 - 424,425 - 433,434 - 451,452 - 634,635 - 643,644 - 666,-,-,-,411 - 424,425 - 433,434 - 451,452 - 634,635 - 643,644 - 666,-,-,Batter
90,D Cleaver,New Zealand,5,93,126.88,29.5,411 - 462,463 - 516,521 - 523,524 - 545,546 - 641,642 - 655,656 - 663,664 - 666,-,411 - 516,-,521 - 533,534 - 541,542 - 653,654 - 661,662 - 666,-,-,411 - 516,-,521 - 535,536 - 554,555 - 651,-,652 - 666,-,-,411 - 612,613 - 623,-,624 - 634,635 - 666,-,-,-,-,411 - 446,-,-,451 - 521,522 - 565,566 - 622,623 - 666,-,-,411 - 516,-,521 - 535,536 - 554,555 - 651,-,652 - 666,-,-,
91,D Madushanka,Sri Lanka,1,2,50.0,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
92,D Myers,Zimbabwe,8,116,119.83,17.38,-,411 - 423,-,424 - 523,524 - 653,-,654 - 666,-,-,411 - 515,516 - 534,-,535 - 544,545 - 662,-,663 - 664,-,665 - 666,411 - 463,464 - 523,-,524 - 564,565 - 666,-,-,-,-,411 - 454,-,-,455 - 526,531 - 634,-,635 - 666,-,-,-,-,411 - 421,422 - 432,433 - 633,-,634 - 666,-,-,411 - 463,464 - 523,-,524 - 564,565 - 666,-,-,-,-,
93,D Padikkal,India,2,38,100.0,19.0,411 - 666,-,-,-,-,-,-,-,-,411 - 523,-,-,-,-,-,524 - 666,-,-,411 - 523,-,-,-,-,-,524 - 666,-,-,411 - 424,425 - 521,-,-,522 - 613,-,614 - 666,-,-,411 - 412,413 - 422,423 - 432,433 - 442,443 - 656,-,661 - 666,-,-,411 - 412,413 - 422,423 - 432,433 - 442,443 - 656,-,661 - 666,-,-,
94,D Pretorius,South Africa,11,79,159.49,15.75,411 - 546,551 - 565,566 - 624,625 - 643,644 - 655,656 - 666,-,-,-,411 - 533,534 - 552,553 - 564,565 - 612,613 - 654,655 - 666,-,-,-,411 - 411,412 - 415,416 - 435,436 - 524,525 - 613,614 - 633,634 - 666,-,-,411 - 516,-,521 - 554,-,555 - 666,-,-,-,-,411 - 533,534 - 552,553 - 564,565 - 612,613 - 654,655 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,Allrounder
95,D Wiese,Namibia,18,275,123.27,26.08,411 - 452,453 - 462,463 - 465,466 - 524,525 - 641,642 - 651,652 - 666,-,-,411 - 452,453 - 462,463 - 465,466 - 524,525 - 641,642 - 651,652 - 666,-,-,411 - 425,426 - 436,441 - 453,454 - 464,465 - 611,612 - 625,626 - 663,664 - 666,-,411 - 552,553 - 554,555 - 562,563 - 611,612 - 653,654 - 656,661 - 665,666 - 666,-,411 - 552,553 - 554,555 - 562,563 - 611,612 - 653,654 - 656,661 - 665,666 - 666,-,411 - 514,515 - 526,531 - 542,-,543 - 655,656 - 666,-,-,-,Allrounder
96,D la Cock,Namibia,5,83,113.25,18.8,411 - 546,551 - 556,561 - 562,563 - 623,624 - 653,654 - 664,665 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,-,411 - 466,511 - 566,-,611 - 666,-,-,-,-,411 - 511,512 - 533,-,-,534 - 666,-,-,-,-,411 - 416,-,421 - 443,-,444 - 652,653 - 661,662 - 666,-,-,-,411 - 466,511 - 566,-,611 - 666,-,-,-,-,Batter
97,DA Miller,South Africa,25,401,162.59,50.15,-,411 - 666,-,-,-,-,-,-,-,411 - 414,415 - 423,424 - 433,434 - 455,456 - 641,642 - 653,654 - 666,-,-,411 - 414,415 - 422,423 - 446,451 - 513,514 - 634,635 - 653,654 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 446,451 - 452,453 - 464,465 - 515,516 - 646,651 - 654,655 - 666,-,-,-,-,411 - 466,-,511 - 566,-,611 - 666,-,-,Batter
98,DA Warner,Australia,14,383,150.91,52.55,411 - 512,513 - 516,521 - 524,525 - 561,562 - 645,646 - 655,656 - 665,666 - 666,-,411 - 425,426 - 433,434 - 441,442 - 515,516 - 646,651 - 665,666 - 666,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,411 - 452,-,453 - 461,462 - 544,545 - 652,-,653 - 664,665 - 666,-,411 - 413,414 - 416,421 - 426,431 - 453,454 - 626,631 - 642,643 - 666,-,-,411 - 623,-,-,624 - 666,-,-,-,-,-,Batter
99,DAJ Bracewell,New Zealand,1,7,71.43,5.0,-,411 - 453,-,-,454 - 623,-,624 - 666,-,-,-,411 - 453,-,-,454 - 623,-,624 - 666,-,-,-,411 - 453,-,-,454 - 623,-,624 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,
100,DC Drakes,West Indies,5,19,78.95,3.0,411 - 523,524 - 615,-,-,616 - 666,-,-,-,-,411 - 523,524 - 615,-,-,616 - 666,-,-,-,-,411 - 444,445 - 632,-,633 - 666,-,-,-,-,-,411 - 552,553 - 612,-,613 - 631,632 - 666,-,-,-,-,411 - 552,553 - 612,-,613 - 631,632 - 666,-,-,-,-,411 - 523,-,-,524 - 551,-,552 - 666,-,-,-,
101,DC Thomas,West Indies,7,54,94.44,8.5,411 - 436,441 - 523,-,524 - 553,554 - 666,-,-,-,-,411 - 623,-,-,-,624 - 666,-,-,-,-,411 - 433,-,434 - 464,465 - 521,522 - 653,-,654 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 465,466 - 523,-,524 - 541,542 - 633,-,634 - 666,-,-,411 - 433,-,434 - 464,465 - 521,522 - 653,-,654 - 666,-,-,
102,DE Budge,Scotland,2,3,0.0,0.0,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 616,621 - 666,-,-,-,-,-,-,-,411 - 616,621 - 666,-,-,-,-,-,-,-,411 - 616,621 - 666,-,-,-,-,-,-,-,
103,DJ Bravo,West Indies,14,102,100.98,11.44,411 - 666,-,-,-,-,-,-,-,-,411 - 531,532 - 543,544 - 546,551 - 555,556 - 642,643 - 663,664 - 666,-,-,411 - 426,431 - 452,453 - 463,464 - 525,526 - 632,633 - 655,656 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 554,-,555 - 562,-,563 - 652,653 - 656,661 - 666,-,-,-,411 - 566,-,-,611 - 666,-,-,-,-,
104,DJ Hooda,India,9,185,155.68,41.14,411 - 464,-,465 - 513,514 - 545,546 - 634,635 - 654,655 - 666,-,-,411 - 431,432 - 436,441 - 446,451 - 523,524 - 633,634 - 653,654 - 665,666 - 666,-,-,411 - 432,-,433 - 462,463 - 615,616 - 636,641 - 666,-,-,411 - 464,-,465 - 556,-,561 - 652,653 - 666,-,-,-,411 - 442,443 - 445,446 - 465,-,466 - 653,654 - 656,661 - 666,-,-,-,411 - 432,-,433 - 462,463 - 615,616 - 636,641 - 666,-,-,Allrounder
105,DJ Malan,England,31,647,128.75,29.75,411 - 523,524 - 526,531 - 532,533 - 561,562 - 644,645 - 662,663 - 665,666 - 666,-,411 - 463,464 - 511,512 - 521,522 - 543,544 - 646,651 - 655,656 - 665,666 - 666,-,411 - 423,424 - 441,442 - 455,456 - 516,521 - 625,626 - 645,646 - 666,-,-,411 - 544,545 - 553,-,554 - 565,566 - 661,662 - 666,-,-,-,411 - 441,442 - 446,451 - 456,461 - 513,514 - 645,646 - 653,654 - 664,665 - 666,-,411 - 414,415 - 513,-,514 - 542,543 - 641,-,642 - 666,-,-,Batter
106,DJ Mitchell,New Zealand,22,376,144.95,28.68,411 - 435,436 - 444,445 - 446,451 - 514,515 - 624,625 - 634,635 - 656,661 - 666,-,411 - 442,443 - 446,451 - 456,461 - 523,524 - 641,642 - 646,651 - 666,-,-,-,411 - 432,433 - 453,454 - 531,532 - 644,645 - 653,654 - 666,-,-,411 - 454,455 - 465,466 - 516,521 - 541,542 - 655,656 - 663,664 - 666,-,-,411 - 421,422 - 426,431 - 441,442 - 443,444 - 636,641 - 652,653 - 666,-,-,-,-,411 - 536,-,541 - 666,-,-,-,-,Allrounder
107,DJ Willey,England,6,47,127.66,20.0,411 - 612,-,613 - 616,621 - 624,625 - 666,-,-,-,-,411 - 612,-,613 - 616,621 - 624,625 - 666,-,-,-,-,411 - 536,541 - 552,553 - 556,561 - 633,634 - 654,655 - 666,-,-,-,411 - 465,466 - 523,-,524 - 541,542 - 666,-,-,-,-,411 - 465,466 - 523,-,524 - 541,542 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Allrounder
108,DL Chahar,India,2,25,208.0,52.0,411 - 465,-,466 - 532,533 - 554,555 - 666,-,-,-,-,411 - 465,-,466 - 532,533 - 554,555 - 666,-,-,-,-,-,411 - 425,426 - 463,464 - 536,541 - 632,-,633 - 666,-,-,411 - 533,-,534 - 552,553 - 612,613 - 651,652 - 666,-,-,-,411 - 533,-,534 - 552,553 - 612,613 - 651,652 - 666,-,-,-,-,411 - 425,426 - 463,464 - 536,541 - 632,-,633 - 666,-,-,
109,DM Bravo,West Indies,4,62,104.84,32.5,411 - 424,-,-,425 - 452,453 - 666,-,-,-,-,411 - 523,-,-,524 - 535,536 - 615,616 - 631,632 - 666,-,-,411 - 513,514 - 521,-,522 - 525,526 - 654,655 - 662,663 - 666,-,-,411 - 424,-,-,425 - 452,453 - 666,-,-,-,-,-,411 - 416,421 - 426,431 - 436,441 - 645,646 - 666,-,-,-,-,-,-,-,411 - 666,-,-,-,-,
110,DM de Silva,Sri Lanka,12,145,112.41,18.11,411 - 446,451 - 453,-,454 - 516,521 - 636,641 - 646,651 - 663,664 - 666,-,411 - 441,442 - 511,-,512 - 521,522 - 636,641 - 646,651 - 666,-,-,-,411 - 426,-,431 - 446,451 - 566,-,611 - 666,-,-,411 - 511,512 - 522,-,523 - 555,556 - 655,656 - 666,-,-,-,411 - 426,431 - 436,441 - 444,445 - 454,455 - 642,643 - 652,653 - 666,-,-,411 - 453,-,-,-,454 - 623,-,624 - 666,-,-,Allrounder
111,DP Conway,New Zealand,21,584,131.34,54.79,411 - 512,513 - 513,514 - 521,522 - 543,544 - 636,641 - 654,655 - 665,666 - 666,-,411 - 451,452 - 454,455 - 456,461 - 515,516 - 651,652 - 661,662 - 666,-,-,-,411 - 423,424 - 435,436 - 511,512 - 624,625 - 634,635 - 663,664 - 666,-,-,-,-,411 - 461,462 - 654,-,655 - 666,-,-,411 - 453,454 - 456,461 - 464,465 - 524,525 - 643,644 - 646,651 - 666,-,-,411 - 443,-,444 - 463,464 - 544,545 - 564,565 - 625,626 - 666,-,-,Batter
112,DR Sams,Australia,5,57,164.91,23.5,411 - 432,-,433 - 521,522 - 532,533 - 632,633 - 643,644 - 666,-,-,411 - 432,-,433 - 521,522 - 532,533 - 632,633 - 643,644 - 666,-,-,-,411 - 426,431 - 442,443 - 465,466 - 643,644 - 662,663 - 666,-,-,411 - 552,553 - 562,-,563 - 612,613 - 651,-,652 - 666,-,-,411 - 552,553 - 562,-,563 - 612,613 - 651,-,652 - 666,-,-,-,411 - 426,431 - 442,443 - 465,466 - 643,644 - 662,663 - 666,-,-,
113,DT Christian,Australia,7,64,140.62,18.0,411 - 554,555 - 666,-,-,-,-,-,-,-,411 - 523,-,-,-,524 - 615,-,616 - 666,-,-,411 - 555,556 - 563,-,564 - 614,615 - 651,652 - 662,663 - 666,-,-,411 - 424,425 - 436,441 - 545,546 - 561,562 - 642,-,643 - 654,655 - 666,-,-,411 - 436,-,441 - 453,454 - 653,654 - 666,-,-,-,411 - 565,-,566 - 615,616 - 625,626 - 645,646 - 655,656 - 666,-,-,
