,name,team,innings,ballsfaced,batting_sr,batting_avg,PaPP0,PaPPW,PaPP6,PaPP4,PaPP1,PaPPE,PaPP2,PaPP3,PaPP5,PaMO0,PaMOW,PaMO6,PaMO4,PaMO1,PaMOE,PaMO2,PaMO3,PaMO5,PaDO0,PaDOW,PaDO6,PaDO4,PaDO1,PaDOE,PaDO2,PaDO3,PaDO5,SpPP0,SpPPW,SpPP6,SpPP4,SpPP1,SpPPE,SpPP2,SpPP3,SpPP5,SpMO0,SpMOW,SpMO6,SpMO4,SpMO1,SpMOE,SpMO2,SpMO3,SpMO5,SpDO0,SpDOW,SpDO6,SpDO4,SpDO1,SpDOE,SpDO2,SpDO3,SpDO5,type
55,JO Holder,Lucknow Super Giants,8,44,131.82,9.67,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 431,432 - 453,454 - 531,-,532 - 653,654 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,-,411 - 453,454 - 536,-,541 - 666,-,-,-,-,Allrounder
56,JR Hazlewood,Royal Challengers Bangalore,5,26,69.23,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 455,-,-,456 - 465,466 - 646,651 - 656,661 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 455,-,-,456 - 465,466 - 646,651 - 656,661 - 666,-,-,Bowler
57,K Gowtham,Lucknow Super Giants,1,1,0.0,0.0,-,411 - 536,-,-,-,541 - 666,-,-,-,-,411 - 536,-,-,-,541 - 666,-,-,-,-,411 - 536,-,-,-,541 - 666,-,-,-,-,411 - 536,-,-,-,541 - 666,-,-,-,-,411 - 536,-,-,-,541 - 666,-,-,-,-,411 - 536,-,-,-,541 - 666,-,-,-,Allrounder
58,K Kartikeya,Mumbai Indians,1,5,40.0,-,411 - 532,533 - 554,-,-,555 - 643,644 - 666,-,-,-,411 - 532,533 - 554,-,-,555 - 643,644 - 666,-,-,-,411 - 532,533 - 554,-,-,555 - 643,644 - 666,-,-,-,411 - 532,533 - 554,-,-,555 - 643,644 - 666,-,-,-,411 - 532,533 - 554,-,-,555 - 643,644 - 666,-,-,-,411 - 532,533 - 554,-,-,555 - 643,644 - 666,-,-,-,Bowler
59,K Rabada,Punjab Kings,7,42,114.29,12.0,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 446,451 - 464,465 - 514,515 - 542,543 - 624,625 - 656,661 - 666,-,-,411 - 621,622 - 635,-,-,636 - 666,-,-,-,-,411 - 621,622 - 635,-,-,636 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
60,KA Pollard,Mumbai Indians,11,134,105.22,17.62,411 - 565,-,-,566 - 611,612 - 655,656 - 664,665 - 666,-,-,411 - 565,-,-,566 - 611,612 - 655,656 - 664,665 - 666,-,-,411 - 512,513 - 525,526 - 542,543 - 551,552 - 623,624 - 652,653 - 666,-,-,411 - 545,546 - 555,556 - 565,566 - 612,613 - 656,661 - 663,664 - 666,-,-,411 - 545,546 - 555,556 - 565,566 - 612,613 - 656,661 - 663,664 - 666,-,-,411 - 456,461 - 533,-,-,534 - 655,656 - 666,-,-,-,Allrounder
61,KD Karthik,Royal Challengers Bangalore,16,178,182.58,65.0,411 - 426,431 - 436,441 - 446,451 - 515,516 - 641,642 - 651,652 - 666,-,-,411 - 426,431 - 436,441 - 446,451 - 515,516 - 641,642 - 651,652 - 666,-,-,411 - 432,433 - 435,436 - 512,513 - 543,544 - 634,635 - 653,654 - 666,-,-,411 - 542,543 - 544,545 - 553,554 - 566,611 - 664,665 - 666,-,-,-,411 - 542,543 - 544,545 - 553,554 - 566,611 - 664,665 - 666,-,-,-,411 - 522,523 - 526,-,531 - 541,542 - 655,-,656 - 666,-,-,WK Batter
62,KH Pandya,Lucknow Super Giants,13,145,125.52,20.22,411 - 416,-,-,421 - 612,613 - 641,642 - 666,-,-,-,411 - 443,444 - 456,-,461 - 523,524 - 641,642 - 651,652 - 664,665 - 666,-,411 - 415,416 - 425,426 - 432,433 - 451,452 - 565,566 - 624,625 - 666,-,-,411 - 416,-,-,421 - 612,613 - 641,642 - 666,-,-,-,411 - 541,542 - 551,552 - 561,562 - 563,564 - 653,654 - 655,656 - 666,-,-,411 - 522,523 - 614,-,-,-,-,-,615 - 666,-,Allrounder
63,KK Ahmed,Delhi Capitals,2,2,0.0,0.0,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,Bowler
64,KK Nair,Rajasthan Royals,2,18,88.89,8.0,-,-,-,411 - 433,434 - 643,644 - 666,-,-,-,-,-,-,411 - 433,434 - 643,644 - 666,-,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,411 - 421,422 - 453,-,-,454 - 666,-,-,-,-,411 - 421,422 - 453,-,-,454 - 666,-,-,-,-,411 - 522,-,-,-,523 - 666,-,-,-,-,Batter
65,KL Rahul,Lucknow Super Giants,14,454,135.46,55.91,411 - 522,523 - 526,531 - 535,536 - 553,554 - 654,655 - 662,663 - 665,666 - 666,-,411 - 426,431 - 432,433 - 446,451 - 465,466 - 631,632 - 651,652 - 666,-,-,-,411 - 415,416 - 432,433 - 463,464 - 635,636 - 655,656 - 666,-,-,411 - 562,-,563 - 564,565 - 614,615 - 656,661 - 663,664 - 666,-,-,411 - 433,434 - 434,435 - 451,452 - 461,462 - 654,655 - 655,656 - 666,-,-,-,-,411 - 442,443 - 514,515 - 666,-,-,-,-,Batter
66,KR Sen,Rajasthan Royals,1,3,0.0,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
67,KS Bharat,Delhi Capitals,2,7,114.29,4.0,411 - 523,524 - 615,-,616 - 666,-,-,-,-,-,411 - 523,524 - 615,-,616 - 666,-,-,-,-,-,411 - 523,524 - 615,-,616 - 666,-,-,-,-,-,411 - 523,524 - 615,-,616 - 666,-,-,-,-,-,411 - 523,524 - 615,-,616 - 666,-,-,-,-,-,411 - 523,524 - 615,-,616 - 666,-,-,-,-,-,WK Batter
68,KS Sharma,Lucknow Super Giants,1,4,100.0,4.0,411 - 546,551 - 626,-,631 - 666,-,-,-,-,-,411 - 546,551 - 626,-,631 - 666,-,-,-,-,-,411 - 546,551 - 626,-,631 - 666,-,-,-,-,-,411 - 546,551 - 626,-,631 - 666,-,-,-,-,-,411 - 546,551 - 626,-,631 - 666,-,-,-,-,-,411 - 546,551 - 626,-,631 - 666,-,-,-,-,-,Allrounder
69,KS Williamson,Sunrisers Hyderabad,12,231,93.51,21.6,411 - 561,562 - 566,611 - 612,613 - 623,624 - 661,662 - 665,666 - 666,-,-,411 - 462,463 - 514,515 - 533,534 - 541,542 - 643,644 - 651,652 - 666,-,-,411 - 514,515 - 525,526 - 536,541 - 562,563 - 655,656 - 666,-,-,-,411 - 514,-,-,515 - 524,525 - 666,-,-,-,-,411 - 445,-,446 - 451,452 - 456,461 - 655,-,656 - 666,-,-,411 - 514,515 - 525,526 - 536,541 - 562,563 - 655,656 - 666,-,-,-,Batter
70,Kartik Tyagi,Sunrisers Hyderabad,2,6,116.67,3.5,411 - 444,445 - 522,-,523 - 555,556 - 633,-,634 - 666,-,-,411 - 444,445 - 522,-,523 - 555,556 - 633,-,634 - 666,-,-,411 - 444,445 - 522,-,523 - 555,556 - 633,-,634 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,Bowler
71,Kuldeep Yadav,Delhi Capitals,7,52,92.31,48.0,411 - 543,-,-,-,544 - 641,642 - 666,-,-,-,411 - 543,-,-,-,544 - 641,642 - 666,-,-,-,411 - 532,533 - 535,536 - 542,543 - 554,555 - 652,653 - 661,662 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 545,-,546 - 613,-,614 - 666,-,-,-,-,Bowler
72,LH Ferguson,Gujarat Titans,2,4,125.0,2.5,-,411 - 536,-,541 - 623,624 - 666,-,-,-,-,-,411 - 536,-,541 - 623,624 - 666,-,-,-,-,-,411 - 536,-,541 - 623,624 - 666,-,-,-,-,-,411 - 536,-,541 - 623,624 - 666,-,-,-,-,-,411 - 536,-,541 - 623,624 - 666,-,-,-,-,-,411 - 536,-,541 - 623,624 - 666,-,-,-,-,Bowler
73,LS Livingstone,Punjab Kings,14,238,183.19,36.33,411 - 462,-,463 - 534,535 - 622,623 - 642,643 - 662,-,663 - 666,-,411 - 424,425 - 434,435 - 461,462 - 526,531 - 643,644 - 661,662 - 666,-,-,-,411 - 424,425 - 461,462 - 531,532 - 622,623 - 654,655 - 666,-,-,-,411 - 444,-,-,445 - 632,-,-,633 - 666,-,411 - 462,463 - 464,465 - 523,524 - 531,532 - 651,652 - 664,665 - 666,-,-,-,411 - 433,434 - 461,-,462 - 666,-,-,-,-,Allrounder
74,Lalit Yadav,Delhi Capitals,8,144,107.64,25.83,411 - 546,-,-,551 - 566,611 - 646,651 - 662,-,663 - 666,-,411 - 435,436 - 444,445 - 446,451 - 455,456 - 623,624 - 646,651 - 666,-,-,411 - 452,453 - 462,463 - 512,513 - 542,543 - 641,642 - 666,-,-,-,411 - 662,-,-,-,663 - 666,-,-,-,-,411 - 534,535 - 543,544 - 552,553 - 561,562 - 663,-,664 - 666,-,-,411 - 452,-,453 - 535,-,536 - 623,624 - 666,-,-,-,Allrounder
75,M Ashwin,Mumbai Indians,4,14,85.71,12.0,411 - 621,622 - 666,-,-,-,-,-,-,-,411 - 621,622 - 666,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 621,622 - 666,-,-,-,-,-,-,-,411 - 621,622 - 666,-,-,-,-,-,-,-,411 - 622,-,-,-,623 - 666,-,-,-,-,Bowler
76,M Jansen,Sunrisers Hyderabad,2,7,128.57,9.0,411 - 514,515 - 536,541 - 562,-,563 - 666,-,-,-,-,411 - 514,515 - 536,541 - 562,-,563 - 666,-,-,-,-,411 - 514,515 - 536,541 - 562,-,563 - 666,-,-,-,-,411 - 514,515 - 536,541 - 562,-,563 - 666,-,-,-,-,411 - 514,515 - 536,541 - 562,-,563 - 666,-,-,-,-,411 - 514,515 - 536,541 - 562,-,563 - 666,-,-,-,-,Allrounder
77,M Prasidh Krishna,Rajasthan Royals,2,12,50.0,-,411 - 555,556 - 566,-,-,611 - 666,-,-,-,-,411 - 555,556 - 566,-,-,611 - 666,-,-,-,-,411 - 555,556 - 566,-,-,611 - 666,-,-,-,-,411 - 622,-,-,-,623 - 666,-,-,-,-,411 - 622,-,-,-,623 - 666,-,-,-,-,411 - 622,-,-,-,623 - 666,-,-,-,-,Bowler
78,M Shahrukh Khan,Punjab Kings,8,108,108.33,16.71,-,-,411 - 444,445 - 522,523 - 666,-,-,-,-,411 - 521,522 - 534,535 - 551,552 - 554,555 - 653,654 - 663,664 - 666,-,-,411 - 453,454 - 511,512 - 525,526 - 532,533 - 564,565 - 652,653 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 631,-,632 - 632,633 - 633,634 - 665,666 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Batter
79,M Theekshana,Chennai Super Kings,2,7,100.0,7.0,411 - 621,622 - 666,-,-,-,-,-,-,-,411 - 621,622 - 666,-,-,-,-,-,-,-,411 - 462,-,463 - 543,-,544 - 625,626 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 462,-,463 - 543,-,544 - 625,626 - 666,-,-,-,Bowler
80,M Vohra,Lucknow Super Giants,1,11,172.73,19.0,411 - 446,451 - 512,513 - 534,535 - 556,561 - 644,645 - 666,-,-,-,411 - 446,451 - 512,513 - 534,535 - 556,561 - 644,645 - 666,-,-,-,411 - 446,451 - 512,513 - 534,535 - 556,561 - 644,645 - 666,-,-,-,-,-,411 - 466,-,511 - 566,611 - 666,-,-,-,-,-,411 - 466,-,511 - 566,611 - 666,-,-,-,-,-,411 - 466,-,511 - 566,611 - 666,-,-,-,Batter
81,MA Agarwal,Punjab Kings,12,160,122.5,16.33,411 - 463,464 - 513,514 - 522,523 - 552,553 - 641,642 - 654,655 - 666,-,-,411 - 424,425 - 433,434 - 442,443 - 461,462 - 641,642 - 651,652 - 666,-,-,411 - 424,425 - 433,434 - 442,443 - 461,462 - 641,642 - 651,652 - 666,-,-,411 - 452,453 - 461,462 - 466,511 - 543,544 - 652,653 - 666,-,-,-,411 - 451,452 - 523,-,524 - 543,544 - 646,651 - 666,-,-,-,411 - 451,452 - 523,-,524 - 543,544 - 646,651 - 666,-,-,-,Batter
82,MJ Santner,Chennai Super Kings,4,27,81.48,11.0,411 - 526,531 - 542,-,543 - 562,563 - 626,631 - 654,655 - 666,-,-,411 - 532,-,-,-,533 - 666,-,-,-,-,411 - 532,-,-,-,533 - 666,-,-,-,-,411 - 526,531 - 542,-,543 - 562,563 - 626,631 - 654,655 - 666,-,-,411 - 532,-,-,-,533 - 666,-,-,-,-,411 - 532,-,-,-,533 - 666,-,-,-,-,Allrounder
83,MK Lomror,Royal Challengers Bangalore,5,57,150.88,17.2,411 - 446,451 - 556,561 - 666,-,-,-,-,-,-,411 - 451,-,-,452 - 622,623 - 666,-,-,-,-,-,411 - 425,426 - 444,445 - 523,524 - 552,553 - 641,642 - 666,-,-,411 - 446,451 - 556,561 - 666,-,-,-,-,-,-,411 - 432,433 - 441,442 - 446,451 - 455,456 - 661,-,662 - 666,-,-,-,411 - 433,-,-,434 - 666,-,-,-,-,Allrounder
84,MK Pandey,Lucknow Super Giants,6,80,110.0,14.67,411 - 516,521 - 542,543 - 551,552 - 564,565 - 652,653 - 666,-,-,-,411 - 423,424 - 436,441 - 444,445 - 465,466 - 624,625 - 641,642 - 666,-,-,411 - 423,424 - 436,441 - 444,445 - 465,466 - 624,625 - 641,642 - 666,-,-,411 - 632,-,-,633 - 645,646 - 666,-,-,-,-,411 - 524,525 - 533,-,534 - 551,552 - 653,-,654 - 666,-,-,411 - 524,525 - 533,-,534 - 551,552 - 653,-,654 - 666,-,-,Batter
85,MM Ali,Chennai Super Kings,10,177,137.85,27.11,411 - 546,551 - 555,556 - 564,565 - 632,633 - 655,656 - 663,664 - 666,-,-,-,411 - 414,415 - 422,423 - 451,452 - 633,634 - 654,655 - 666,-,-,411 - 535,536 - 553,554 - 556,561 - 614,615 - 652,-,653 - 666,-,-,411 - 414,-,415 - 513,514 - 611,612 - 653,-,654 - 666,-,-,411 - 463,464 - 513,514 - 521,522 - 531,532 - 656,661 - 664,665 - 666,-,-,-,-,-,411 - 466,511 - 666,-,-,-,-,Allrounder
86,MP Stoinis,Lucknow Super Giants,10,106,147.17,22.29,411 - 551,552 - 562,-,563 - 613,614 - 645,646 - 666,-,-,-,411 - 551,552 - 562,-,563 - 613,614 - 645,646 - 666,-,-,-,411 - 456,461 - 512,513 - 532,533 - 545,546 - 643,644 - 665,666 - 666,-,-,411 - 511,-,512 - 535,-,536 - 654,-,655 - 666,-,-,411 - 511,-,512 - 535,-,536 - 654,-,655 - 666,-,-,411 - 452,453 - 461,462 - 523,-,524 - 661,-,662 - 666,-,-,Allrounder
87,MR Marsh,Delhi Capitals,8,189,132.8,35.86,411 - 534,535 - 542,543 - 556,561 - 615,616 - 661,-,662 - 665,666 - 666,-,411 - 436,-,441 - 455,456 - 525,526 - 644,645 - 652,653 - 666,-,-,411 - 436,441 - 454,455 - 512,513 - 562,563 - 652,653 - 666,-,-,-,-,-,411 - 432,-,433 - 666,-,-,-,-,411 - 525,526 - 532,533 - 534,535 - 542,543 - 661,662 - 664,665 - 666,-,-,-,411 - 426,431 - 446,451 - 466,511 - 646,651 - 666,-,-,-,Allrounder
88,MS Dhoni,Chennai Super Kings,12,186,120.97,32.14,411 - 523,-,-,524 - 551,-,552 - 642,643 - 666,-,-,411 - 614,-,-,-,615 - 656,661 - 664,665 - 666,-,-,411 - 462,463 - 513,514 - 525,526 - 554,555 - 643,644 - 652,653 - 666,-,-,411 - 523,-,-,524 - 551,-,552 - 642,643 - 666,-,-,411 - 623,-,624 - 624,625 - 632,633 - 661,662 - 665,666 - 666,-,-,411 - 515,516 - 533,534 - 542,543 - 551,552 - 642,643 - 661,662 - 666,-,-,WK Batter
89,MS Wade,Gujarat Titans,10,138,113.77,17.44,411 - 515,516 - 525,526 - 532,533 - 613,614 - 645,646 - 662,663 - 666,-,-,411 - 421,422 - 453,-,454 - 543,544 - 615,616 - 633,634 - 666,-,-,411 - 421,422 - 453,-,454 - 543,544 - 615,616 - 633,634 - 666,-,-,411 - 642,643 - 644,-,645 - 653,654 - 664,665 - 666,-,-,-,411 - 455,456 - 465,-,466 - 512,513 - 636,641 - 653,654 - 666,-,-,411 - 455,456 - 465,-,466 - 512,513 - 636,641 - 653,654 - 666,-,-,WK Batter
90,Mandeep Singh,Delhi Capitals,3,23,78.26,6.0,411 - 564,565 - 616,-,621 - 643,644 - 655,656 - 666,-,-,-,411 - 564,565 - 616,-,621 - 643,644 - 655,656 - 666,-,-,-,411 - 564,565 - 616,-,621 - 643,644 - 655,656 - 666,-,-,-,411 - 562,563 - 666,-,-,-,-,-,-,-,411 - 562,563 - 666,-,-,-,-,-,-,-,411 - 562,563 - 666,-,-,-,-,-,-,-,Allrounder
91,Mohammed Siraj,Royal Challengers Bangalore,4,33,90.91,15.0,411 - 613,614 - 621,-,622 - 635,636 - 664,-,665 - 666,-,-,411 - 613,614 - 621,-,622 - 635,636 - 664,-,665 - 666,-,-,411 - 613,614 - 621,-,622 - 635,636 - 664,-,665 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Bowler
92,Mohsin Khan (2),Lucknow Super Giants,3,16,143.75,23.0,411 - 521,522 - 613,-,-,614 - 666,-,-,-,-,411 - 521,522 - 613,-,-,614 - 666,-,-,-,-,411 - 426,-,-,431 - 455,456 - 611,612 - 653,654 - 666,-,-,411 - 521,522 - 613,-,-,614 - 666,-,-,-,-,411 - 521,522 - 613,-,-,614 - 666,-,-,-,-,411 - 522,-,523 - 614,-,615 - 666,-,-,-,-,Bowler
93,Mukesh Choudhary,Chennai Super Kings,2,6,100.0,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,Bowler
94,Mustafizur Rahman,Delhi Capitals,1,5,60.0,-,411 - 632,-,-,-,633 - 666,-,-,-,-,411 - 632,-,-,-,633 - 666,-,-,-,-,411 - 632,-,-,-,633 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,Bowler
95,N Jagadeesan,Chennai Super Kings,2,37,108.11,40.0,411 - 563,564 - 613,-,-,614 - 666,-,-,-,-,411 - 563,564 - 613,-,-,614 - 666,-,-,-,-,411 - 436,-,-,-,441 - 562,563 - 652,653 - 666,-,-,411 - 443,-,444 - 456,461 - 542,543 - 666,-,-,-,-,411 - 443,-,444 - 456,461 - 542,543 - 666,-,-,-,-,411 - 434,-,-,-,435 - 666,-,-,-,-,Batter
96,N Pooran,Sunrisers Hyderabad,13,212,144.34,38.25,411 - 666,-,-,-,-,-,-,-,-,411 - 435,436 - 441,442 - 456,461 - 513,514 - 635,636 - 663,664 - 666,-,-,411 - 441,442 - 451,452 - 512,513 - 532,533 - 632,633 - 652,653 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 463,464 - 466,511 - 523,524 - 526,531 - 646,651 - 656,661 - 666,-,-,411 - 442,-,-,443 - 463,464 - 666,-,-,-,-,WK Batter
97,N Rana,Kolkata Knight Riders,14,249,142.57,27.31,411 - 554,555 - 561,562 - 612,613 - 634,635 - 655,656 - 664,665 - 666,-,-,411 - 515,516 - 525,526 - 542,543 - 556,561 - 644,645 - 656,661 - 664,665 - 666,-,411 - 445,446 - 462,463 - 515,516 - 536,541 - 632,633 - 662,663 - 666,-,-,411 - 515,-,-,516 - 645,646 - 666,-,-,-,-,411 - 435,436 - 445,446 - 462,463 - 514,515 - 653,654 - 655,656 - 665,666 - 666,-,411 - 422,-,423 - 454,-,455 - 562,563 - 666,-,-,-,Batter
98,NA Saini,Rajasthan Royals,1,2,100.0,2.0,-,411 - 536,-,-,-,-,541 - 666,-,-,-,411 - 536,-,-,-,-,541 - 666,-,-,-,411 - 536,-,-,-,-,541 - 666,-,-,-,411 - 536,-,-,-,-,541 - 666,-,-,-,411 - 536,-,-,-,-,541 - 666,-,-,-,411 - 536,-,-,-,-,541 - 666,-,-,Bowler
99,NM Coulter-Nile,Rajasthan Royals,1,2,50.0,-,-,-,-,-,411 - 536,541 - 666,-,-,-,-,-,-,-,411 - 536,541 - 666,-,-,-,-,-,-,-,411 - 536,541 - 666,-,-,-,-,-,-,-,411 - 536,541 - 666,-,-,-,-,-,-,-,411 - 536,541 - 666,-,-,-,-,-,-,-,411 - 536,541 - 666,-,-,-,Allrounder
100,NT Ellis,Punjab Kings,1,2,0.0,0.0,411 - 621,622 - 666,-,-,-,-,-,-,-,411 - 621,622 - 666,-,-,-,-,-,-,-,411 - 621,622 - 666,-,-,-,-,-,-,-,411 - 621,622 - 666,-,-,-,-,-,-,-,411 - 621,622 - 666,-,-,-,-,-,-,-,411 - 621,622 - 666,-,-,-,-,-,-,-,Bowler
101,OC McCoy,Rajasthan Royals,1,5,160.0,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,-,411 - 536,-,541 - 666,-,-,-,-,-,-,411 - 536,-,541 - 666,-,-,-,-,-,-,411 - 536,-,541 - 666,-,-,-,-,Bowler
102,OF Smith,Punjab Kings,6,44,115.91,17.0,411 - 543,544 - 612,-,-,613 - 666,-,-,-,-,411 - 543,544 - 612,-,-,613 - 666,-,-,-,-,411 - 551,552 - 555,556 - 613,614 - 615,616 - 644,645 - 662,663 - 666,-,-,411 - 654,-,-,-,655 - 662,663 - 666,-,-,-,411 - 654,-,-,-,655 - 662,663 - 666,-,-,-,-,-,-,-,411 - 666,-,-,-,-,Allrounder
103,P Simran Singh,Punjab Kings,1,11,127.27,14.0,411 - 461,462 - 516,-,521 - 554,555 - 632,-,633 - 666,-,-,411 - 461,462 - 516,-,521 - 554,555 - 632,-,633 - 666,-,-,411 - 461,462 - 516,-,521 - 554,555 - 632,-,633 - 666,-,-,411 - 461,462 - 516,-,521 - 554,555 - 632,-,633 - 666,-,-,411 - 461,462 - 516,-,521 - 554,555 - 632,-,633 - 666,-,-,411 - 461,462 - 516,-,521 - 554,555 - 632,-,633 - 666,-,-,WK Batter
104,PBB Rajapaksa,Punjab Kings,9,128,160.16,25.62,-,411 - 433,434 - 465,466 - 554,555 - 634,635 - 661,662 - 666,-,-,411 - 442,443 - 451,452 - 511,512 - 533,534 - 626,631 - 646,651 - 666,-,-,411 - 444,445 - 522,-,-,523 - 633,-,634 - 666,-,-,411 - 662,-,-,-,663 - 664,665 - 666,-,-,-,411 - 451,452 - 461,462 - 514,515 - 526,531 - 651,652 - 662,663 - 666,-,-,411 - 444,445 - 522,-,-,523 - 633,-,634 - 666,-,-,Batter
105,PJ Cummins,Kolkata Knight Riders,5,23,265.22,15.25,411 - 466,-,511 - 543,544 - 634,635 - 666,-,-,-,-,411 - 466,-,511 - 543,544 - 634,635 - 666,-,-,-,-,-,411 - 442,443 - 545,546 - 621,622 - 635,636 - 653,654 - 666,-,-,411 - 466,-,511 - 543,544 - 634,635 - 666,-,-,-,-,411 - 466,-,511 - 543,544 - 634,635 - 666,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,Bowler
106,PJ Sangwan,Gujarat Titans,1,5,40.0,2.0,411 - 532,533 - 554,-,-,555 - 643,644 - 666,-,-,-,411 - 532,533 - 554,-,-,555 - 643,644 - 666,-,-,-,411 - 532,533 - 554,-,-,555 - 643,644 - 666,-,-,-,411 - 532,533 - 554,-,-,555 - 643,644 - 666,-,-,-,411 - 532,533 - 554,-,-,555 - 643,644 - 666,-,-,-,411 - 532,533 - 554,-,-,555 - 643,644 - 666,-,-,-,Bowler
107,PK Garg,Sunrisers Hyderabad,2,33,139.39,23.0,411 - 462,463 - 512,513 - 522,523 - 543,544 - 635,636 - 645,646 - 666,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 424,-,425 - 443,444 - 521,522 - 651,-,652 - 666,-,-,411 - 424,-,425 - 443,444 - 521,522 - 651,-,652 - 666,-,-,Batter
108,PN Mankad,Punjab Kings,1,1,400.0,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,Allrounder
109,PP Shaw,Delhi Capitals,10,184,153.8,28.3,411 - 511,512 - 516,521 - 531,532 - 566,611 - 645,646 - 655,656 - 665,666 - 666,-,-,411 - 416,421 - 435,436 - 523,524 - 631,632 - 656,661 - 666,-,-,-,411 - 416,421 - 435,436 - 523,524 - 631,632 - 656,661 - 666,-,-,411 - 521,-,-,522 - 561,562 - 666,-,-,-,-,-,411 - 444,445 - 453,454 - 462,463 - 642,643 - 651,652 - 666,-,-,-,411 - 444,445 - 453,454 - 462,463 - 642,643 - 651,652 - 666,-,-,Batter
110,PVD Chameera,Lucknow Super Giants,7,28,153.57,14.33,411 - 434,435 - 452,453 - 514,515 - 532,533 - 621,622 - 643,644 - 666,-,-,411 - 434,435 - 452,453 - 514,515 - 532,533 - 621,622 - 643,644 - 666,-,-,411 - 434,435 - 452,453 - 514,515 - 532,533 - 621,622 - 643,644 - 666,-,-,411 - 562,563 - 614,-,615 - 626,631 - 642,643 - 666,-,-,-,411 - 562,563 - 614,-,615 - 626,631 - 642,643 - 666,-,-,-,411 - 562,563 - 614,-,615 - 626,631 - 642,643 - 666,-,-,-,Bowler
111,PWH de Silva,Royal Challengers Bangalore,7,43,88.37,5.43,411 - 626,-,-,631 - 632,633 - 655,656 - 666,-,-,-,411 - 626,-,-,631 - 632,633 - 655,656 - 666,-,-,-,411 - 462,463 - 556,-,561 - 625,-,626 - 641,642 - 666,-,-,411 - 432,-,-,433 - 512,513 - 666,-,-,-,-,411 - 432,-,-,433 - 512,513 - 666,-,-,-,-,411 - 434,435 - 532,533 - 552,-,553 - 646,651 - 666,-,-,-,Allrounder
