,name,PP0,PP1,PP2,PP3,PP4,PP5,PP6,PPE,PPW,MO0,MO1,MO2,MO3,MO4,MO5,MO6,MOE,MOW,DO0,DO1,DO2,DO3,DO4,DO5,DO6,DOE,DOW,team,type
101,GHS Garton,411 - 443,444 - 461,462 - 514,-,515 - 563,-,564 - 634,635 - 652,653 - 666,411 - 421,422 - 634,-,-,-,-,635 - 666,-,-,411 - 433,434 - 463,464 - 534,-,535 - 565,-,566 - 666,-,-,England,Pace
102,GI Hume,411 - 666,-,-,-,-,-,-,-,-,-,411 - 544,545 - 556,-,561 - 625,-,626 - 641,642 - 666,-,411 - 533,534 - 555,556 - 622,-,-,-,623 - 666,-,-,Ireland,Pace
103,GJ Delany,-,411 - 521,-,-,522 - 555,-,-,-,556 - 666,411 - 434,435 - 613,614 - 624,625 - 625,626 - 643,-,644 - 654,655 - 662,663 - 666,411 - 463,464 - 646,651 - 656,-,-,-,661 - 666,-,-,Ireland,Spin
104,GJ Maxwell,411 - 434,435 - 563,-,564 - 565,566 - 635,-,636 - 644,645 - 655,656 - 666,411 - 433,434 - 622,623 - 635,-,636 - 644,-,645 - 653,654 - 663,664 - 666,-,-,-,-,-,-,-,-,-,Australia,Spin
105,GJ Snyman,-,-,-,-,-,-,-,-,-,-,411 - 566,-,-,611 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,South Africa,Spin
106,GT Main,411 - 512,513 - 554,-,-,555 - 611,-,612 - 636,641 - 653,654 - 666,411 - 544,545 - 613,-,614 - 621,622 - 633,-,-,634 - 662,663 - 666,-,411 - 451,452 - 463,-,464 - 544,-,545 - 556,561 - 654,655 - 666,Scotland,Pace
107,Gulbadin Naib,-,-,-,-,-,-,-,-,-,411 - 463,464 - 625,626 - 641,-,642 - 661,-,-,-,662 - 666,411 - 451,452 - 564,565 - 615,-,-,-,616 - 642,643 - 654,655 - 666,Afghanistan,Pace
108,HH Pandya,411 - 456,461 - 542,543 - 554,-,555 - 624,-,625 - 643,644 - 662,663 - 666,411 - 462,463 - 615,616 - 624,-,625 - 643,-,644 - 652,653 - 662,663 - 666,411 - 423,424 - 546,551 - 614,-,615 - 633,-,634 - 645,646 - 661,662 - 666,India,Pace
109,HK Bennett,411 - 463,464 - 564,565 - 613,-,614 - 644,-,-,645 - 663,664 - 666,411 - 414,415 - 555,556 - 616,-,621 - 626,-,631 - 636,641 - 656,661 - 666,411 - 431,432 - 553,554 - 631,-,632 - 636,-,-,641 - 653,654 - 666,New Zealand,Pace
110,HN Ya France,-,-,-,-,-,-,-,-,-,411 - 521,522 - 622,623 - 633,-,634 - 653,-,-,654 - 664,665 - 666,-,411 - 566,611 - 636,-,-,-,-,-,641 - 666,Namibia,Spin
111,HR Walsh,-,-,-,-,-,-,-,-,-,411 - 435,436 - 613,614 - 624,625 - 625,626 - 641,-,642 - 651,652 - 655,656 - 666,411 - 436,441 - 551,552 - 622,-,623 - 635,-,636 - 653,-,654 - 666,West Indies,Spin
112,HV Patel,411 - 515,516 - 611,612 - 615,-,616 - 632,-,633 - 636,641 - 662,663 - 666,411 - 464,465 - 566,611 - 615,-,616 - 635,-,636 - 645,646 - 656,661 - 666,411 - 444,445 - 551,552 - 561,-,562 - 614,-,615 - 642,643 - 655,656 - 666,India,Pace
113,Hamid Hassan,411 - 533,534 - 656,-,-,661 - 666,-,-,-,-,411 - 644,645 - 662,-,-,663 - 663,-,-,664 - 664,665 - 666,411 - 446,451 - 524,-,-,525 - 612,-,613 - 622,623 - 656,661 - 666,Afghanistan,Pace
114,Hamza Tahir,411 - 612,613 - 646,-,-,651 - 654,-,655 - 662,663 - 666,-,411 - 433,434 - 552,553 - 612,-,613 - 621,-,622 - 655,-,656 - 666,-,-,-,-,-,-,-,-,-,Scotland,Spin
115,Haris Rauf,411 - 463,464 - 561,562 - 565,-,566 - 643,-,644 - 652,653 - 656,661 - 666,411 - 456,461 - 612,613 - 623,-,624 - 643,644 - 644,645 - 652,653 - 662,663 - 666,411 - 462,463 - 554,555 - 614,-,615 - 634,-,635 - 642,643 - 652,653 - 666,Pakistan,Pace
116,Hasan Ali,411 - 465,466 - 554,555 - 563,564 - 565,566 - 632,-,633 - 635,636 - 655,656 - 666,411 - 466,511 - 566,611 - 622,-,623 - 642,-,643 - 645,646 - 656,661 - 666,411 - 446,451 - 545,546 - 615,-,616 - 626,-,631 - 646,651 - 653,654 - 666,Pakistan,Pace
117,Hasan Mahmud,411 - 523,524 - 613,614 - 623,-,624 - 656,-,-,661 - 666,-,411 - 515,516 - 611,612 - 631,632 - 633,634 - 654,-,-,655 - 661,662 - 666,-,411 - 464,465 - 553,554 - 562,563 - 625,-,-,626 - 634,635 - 666,Bangladesh,Pace
118,I Kaia,-,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Zimbabwe,Spin
119,I Udana,411 - 432,433 - 551,552 - 561,-,562 - 631,-,-,632 - 666,-,411 - 461,462 - 613,614 - 633,-,634 - 656,-,661 - 661,662 - 662,663 - 666,411 - 433,434 - 464,465 - 552,-,553 - 636,-,641 - 653,654 - 666,-,Sri Lanka,Pace
120,IS Sodhi,-,-,-,-,-,-,-,-,-,411 - 441,442 - 564,565 - 621,-,622 - 634,-,635 - 645,646 - 654,655 - 666,411 - 453,454 - 542,543 - 555,556 - 561,562 - 626,-,631 - 644,645 - 654,655 - 666,New Zealand,Spin
121,Iftikhar Ahmed,-,-,-,-,-,-,-,-,-,411 - 441,442 - 635,636 - 644,-,645 - 654,-,655 - 661,662 - 664,665 - 666,-,411 - 536,-,-,-,-,541 - 666,-,-,Pakistan,Spin
122,Imad Wasim,411 - 525,526 - 622,623 - 624,-,625 - 644,-,645 - 656,661 - 663,664 - 666,411 - 532,533 - 632,633 - 642,-,643 - 646,-,651 - 654,655 - 656,661 - 666,-,-,-,-,-,-,-,-,-,Pakistan,Spin
123,J Little,411 - 556,561 - 623,624 - 626,-,631 - 645,-,646 - 646,651 - 661,662 - 666,411 - 466,511 - 613,614 - 624,-,625 - 646,-,651 - 653,654 - 662,663 - 666,411 - 425,426 - 535,536 - 552,-,553 - 622,-,623 - 631,632 - 646,651 - 666,Ireland,Pace
124,JA Duffy,411 - 531,532 - 565,566 - 613,-,614 - 651,-,652 - 653,654 - 662,663 - 666,411 - 541,542 - 634,635 - 641,-,642 - 656,-,-,661 - 663,664 - 666,411 - 561,562 - 635,636 - 643,-,644 - 653,-,654 - 656,661 - 663,664 - 666,New Zealand,Pace
125,JA Richardson,411 - 515,516 - 565,566 - 622,623 - 623,624 - 643,-,644 - 655,656 - 663,664 - 666,411 - 444,445 - 611,612 - 614,-,615 - 644,-,645 - 651,652 - 655,656 - 666,411 - 444,445 - 544,545 - 555,-,556 - 626,-,631 - 632,633 - 646,651 - 666,Australia,Pace
126,JC Archer,411 - 543,544 - 631,632 - 633,-,634 - 652,-,653 - 655,656 - 663,664 - 666,411 - 512,513 - 611,612 - 615,616 - 622,623 - 646,-,651 - 654,655 - 666,-,411 - 436,441 - 542,543 - 552,-,553 - 624,-,625 - 631,632 - 643,644 - 666,England,Pace
127,JDF Vandersay,-,-,-,-,-,-,-,-,-,411 - 435,436 - 611,612 - 632,633 - 633,634 - 651,-,652 - 662,663 - 665,666 - 666,-,411 - 536,541 - 636,-,641 - 666,-,-,-,-,Sri Lanka,Spin
128,JDS Neesham,411 - 545,546 - 616,-,-,621 - 643,-,644 - 653,654 - 656,661 - 666,411 - 454,455 - 613,614 - 633,634 - 634,635 - 661,-,662 - 663,664 - 665,666 - 666,411 - 464,465 - 532,533 - 553,-,554 - 615,-,616 - 644,645 - 646,651 - 666,New Zealand,Pace
129,JH Davey,411 - 446,451 - 564,565 - 612,-,613 - 642,-,643 - 652,653 - 656,661 - 666,411 - 434,435 - 556,561 - 626,-,631 - 646,-,651 - 653,654 - 666,-,411 - 435,436 - 526,531 - 554,-,555 - 654,-,655 - 662,-,663 - 666,Scotland,Pace
130,JJ Bumrah,411 - 551,552 - 623,624 - 626,631 - 632,633 - 643,-,644 - 651,652 - 661,662 - 666,411 - 541,542 - 632,633 - 643,-,644 - 655,-,-,656 - 662,663 - 666,411 - 466,511 - 566,611 - 622,-,623 - 642,-,643 - 646,651 - 662,663 - 666,India,Pace
131,JJ Smit,411 - 543,544 - 631,632 - 644,645 - 645,646 - 661,-,662 - 662,663 - 665,666 - 666,411 - 456,461 - 626,631 - 636,-,641 - 644,-,645 - 653,654 - 656,661 - 666,411 - 426,431 - 526,531 - 564,565 - 566,611 - 634,-,635 - 645,646 - 663,664 - 666,Namibia,Pace
132,JK Masara,-,-,-,-,-,-,-,-,-,411 - 416,421 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Zimbabwe,Spin
133,JN Frylinck,411 - 536,541 - 623,624 - 626,631 - 635,636 - 651,-,652 - 654,655 - 661,662 - 666,411 - 453,454 - 615,616 - 631,-,632 - 643,-,644 - 651,652 - 661,662 - 666,411 - 463,464 - 554,555 - 611,-,612 - 615,-,616 - 626,631 - 642,643 - 666,Namibia,Pace
134,JN Loftie-Eaton,-,-,-,-,-,-,-,-,-,411 - 446,451 - 616,621 - 634,-,635 - 653,-,654 - 656,661 - 664,665 - 666,-,-,-,-,411 - 666,-,-,-,-,Namibia,Spin
135,JO Holder,411 - 526,531 - 611,612 - 622,-,623 - 645,-,646 - 654,655 - 663,664 - 666,411 - 452,453 - 616,621 - 626,-,631 - 645,-,646 - 646,651 - 656,661 - 666,411 - 426,431 - 525,526 - 543,544 - 544,545 - 563,-,564 - 622,623 - 644,645 - 666,West Indies,Pace
136,JP Behrendorff,411 - 511,512 - 555,-,-,556 - 614,-,615 - 642,643 - 666,-,411 - 536,541 - 612,-,-,613 - 633,-,634 - 655,656 - 666,-,411 - 433,434 - 635,-,-,-,-,636 - 666,-,-,Australia,Pace
137,JR Hazlewood,411 - 542,543 - 621,622 - 625,626 - 626,631 - 644,-,645 - 651,652 - 656,661 - 666,411 - 514,515 - 565,566 - 622,623 - 623,624 - 641,-,642 - 645,646 - 653,654 - 666,411 - 455,456 - 553,554 - 564,-,565 - 626,-,631 - 641,642 - 655,656 - 666,Australia,Pace
138,JT Smuts,411 - 552,553 - 642,-,-,643 - 654,-,655 - 666,-,-,411 - 464,465 - 651,-,-,652 - 662,-,-,663 - 666,-,-,-,-,-,-,-,-,-,-,South Africa,Spin
139,Junaid Siddique (2),411 - 526,531 - 566,611 - 623,-,624 - 645,-,646 - 651,652 - 662,663 - 666,411 - 512,513 - 625,626 - 633,-,634 - 642,-,643 - 646,651 - 655,656 - 666,411 - 442,443 - 545,546 - 621,622 - 624,625 - 645,-,646 - 663,664 - 666,-,United Arab Emirates,Pace
140,K Birkenstock,-,-,-,-,-,-,-,-,-,411 - 434,435 - 625,-,-,626 - 643,-,644 - 661,-,662 - 666,-,-,-,-,-,-,-,-,-,Namibia,Pace
141,K Rabada,411 - 533,534 - 615,616 - 623,624 - 624,625 - 646,-,651 - 654,655 - 662,663 - 666,411 - 511,512 - 613,614 - 621,-,622 - 641,-,642 - 651,652 - 662,663 - 666,411 - 456,461 - 561,562 - 563,-,564 - 626,-,631 - 645,646 - 656,661 - 666,South Africa,Pace
142,K Sinclair,-,411 - 564,565 - 624,-,625 - 652,653 - 654,655 - 656,661 - 662,663 - 666,411 - 411,412 - 563,564 - 623,624 - 626,631 - 642,-,643 - 654,655 - 661,662 - 666,-,-,-,-,-,-,-,-,-,West Indies,Spin
143,KA Jamieson,411 - 456,461 - 546,-,551 - 556,561 - 616,-,621 - 646,651 - 666,-,411 - 454,455 - 564,565 - 621,622 - 623,624 - 644,-,645 - 654,655 - 664,665 - 666,411 - 413,414 - 531,532 - 541,-,542 - 613,-,614 - 666,-,-,New Zealand,Pace
144,KA Maharaj,411 - 452,453 - 566,611 - 621,-,622 - 642,-,643 - 651,652 - 663,664 - 666,411 - 456,461 - 624,625 - 632,-,633 - 643,-,644 - 652,653 - 656,661 - 666,411 - 552,553 - 614,615 - 623,-,624 - 653,-,-,-,654 - 666,South Africa,Spin
145,KA Pollard,-,-,-,-,-,-,-,-,-,411 - 431,432 - 611,612 - 625,626 - 626,631 - 636,-,641 - 643,644 - 663,664 - 666,411 - 533,534 - 622,623 - 644,-,645 - 666,-,-,-,-,West Indies,Pace
146,KD Karthik,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,411 - 423,-,424 - 562,-,-,-,563 - 666,-,-,India,Spin
147,KH Pandya,-,411 - 545,546 - 616,-,621 - 634,-,-,635 - 652,653 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,India,Spin
148,KIC Asalanka,-,-,-,-,-,-,-,-,-,411 - 546,551 - 645,-,-,646 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,Sri Lanka,Spin
149,KJ O'Brien,-,-,-,-,-,-,-,-,-,411 - 436,441 - 642,643 - 654,-,655 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,Ireland,Pace
150,KMA Paul,411 - 434,435 - 535,536 - 566,-,611 - 636,-,-,641 - 666,-,411 - 423,424 - 532,533 - 544,-,545 - 625,-,-,626 - 662,663 - 666,-,-,-,-,-,-,-,-,-,West Indies,Pace
151,KNA Bandara,-,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Lanka,Pace
152,KP Meiyappan,411 - 452,453 - 561,-,-,562 - 666,-,-,-,-,411 - 446,451 - 566,611 - 623,-,624 - 633,-,634 - 644,645 - 652,653 - 666,411 - 523,524 - 642,643 - 654,-,-,-,-,-,655 - 666,United Arab Emirates,Spin
153,KR Mayers,411 - 451,452 - 535,536 - 551,552 - 553,554 - 635,-,636 - 642,643 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,West Indies,Pace
154,KW Richardson,411 - 453,454 - 543,544 - 552,-,553 - 624,-,625 - 642,643 - 645,646 - 666,411 - 454,455 - 611,612 - 616,621 - 621,622 - 644,-,645 - 656,661 - 663,664 - 666,411 - 453,454 - 544,545 - 561,-,562 - 621,-,622 - 632,633 - 644,645 - 666,Australia,Pace
155,Karim Janat,-,-,-,-,-,-,-,-,-,411 - 451,452 - 621,622 - 631,-,632 - 645,-,646 - 646,651 - 661,662 - 666,411 - 521,522 - 613,614 - 616,621 - 625,626 - 632,-,633 - 655,656 - 664,665 - 666,Afghanistan,Pace
156,Kashif Daud,411 - 516,521 - 616,621 - 625,626 - 631,632 - 651,-,652 - 654,655 - 664,665 - 666,411 - 421,422 - 612,613 - 666,-,-,-,-,-,-,411 - 424,425 - 545,546 - 614,-,-,-,-,615 - 642,643 - 666,United Arab Emirates,Pace
157,Khushdil Shah,-,-,-,-,-,-,-,-,-,411 - 516,521 - 626,631 - 642,-,643 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,Pakistan,Spin
158,Kuldeep Yadav,-,-,-,-,-,-,-,-,-,411 - 516,521 - 623,624 - 641,-,642 - 651,-,652 - 652,653 - 656,661 - 666,-,-,-,-,-,-,-,-,-,India,Spin
159,L Gregory,-,-,-,-,-,-,-,-,-,-,411 - 531,532 - 545,-,546 - 634,-,635 - 652,-,653 - 666,-,-,-,-,-,-,-,-,-,England,Pace
160,L Ngidi,411 - 511,512 - 555,556 - 565,-,566 - 626,-,631 - 641,642 - 656,661 - 666,411 - 445,446 - 555,556 - 565,566 - 566,611 - 625,-,626 - 641,642 - 656,661 - 666,411 - 514,515 - 554,-,-,555 - 566,-,611 - 632,633 - 646,651 - 666,South Africa,Pace
161,L Sipamla,411 - 613,614 - 642,-,-,643 - 654,-,655 - 666,-,-,411 - 421,422 - 623,-,-,624 - 666,-,-,-,-,-,411 - 546,-,-,551 - 626,-,631 - 646,651 - 656,661 - 666,South Africa,Pace
162,L Wood,411 - 512,513 - 636,-,-,641 - 653,-,-,654 - 666,-,411 - 435,436 - 536,541 - 616,-,621 - 646,-,651 - 656,661 - 666,-,-,411 - 524,525 - 543,-,544 - 562,-,563 - 612,613 - 641,642 - 666,England,Pace
163,LA Dawson,411 - 515,516 - 635,636 - 643,-,644 - 666,-,-,-,-,411 - 464,465 - 632,633 - 646,-,651 - 652,-,653 - 662,663 - 664,665 - 666,-,-,-,-,-,-,-,-,-,England,Spin
164,LB Williams,411 - 433,434 - 566,611 - 626,-,631 - 646,-,-,651 - 662,663 - 666,411 - 446,451 - 613,614 - 624,-,625 - 654,-,-,655 - 662,663 - 666,411 - 434,435 - 536,541 - 553,554 - 555,556 - 626,-,631 - 645,-,646 - 666,South Africa,Pace
165,LH Ferguson,411 - 545,546 - 621,622 - 626,631 - 631,632 - 641,-,642 - 644,645 - 656,661 - 666,411 - 514,515 - 615,616 - 631,-,632 - 642,-,643 - 645,646 - 663,664 - 666,411 - 513,514 - 561,562 - 565,-,566 - 631,-,632 - 635,636 - 653,654 - 666,New Zealand,Pace
166,LM Jongwe,411 - 462,463 - 556,561 - 563,-,564 - 635,-,636 - 651,652 - 654,655 - 666,411 - 434,435 - 556,561 - 614,615 - 615,616 - 634,-,635 - 636,641 - 654,655 - 666,411 - 441,442 - 536,541 - 612,613 - 613,614 - 623,-,624 - 631,632 - 652,653 - 666,Zimbabwe,Pace
167,LMP Simmons,-,411 - 666,-,-,-,-,-,-,-,411 - 421,422 - 526,-,-,531 - 634,-,635 - 666,-,-,-,-,-,-,-,-,-,-,-,West Indies,Pace
168,LS Livingstone,-,-,-,-,-,-,-,-,-,411 - 454,455 - 566,611 - 621,-,622 - 635,-,636 - 645,646 - 656,661 - 666,411 - 453,454 - 566,-,-,611 - 623,-,624 - 636,-,641 - 666,England,Spin
169,LV van Beek,411 - 465,466 - 546,551 - 565,-,566 - 631,-,632 - 642,643 - 664,665 - 666,411 - 556,561 - 636,641 - 645,-,646 - 661,-,662 - 663,-,664 - 666,-,411 - 462,463 - 534,-,535 - 554,-,555 - 566,611 - 646,651 - 666,Netherlands,Pace
170,M Faraz Akram,411 - 453,454 - 616,-,-,621 - 652,-,-,653 - 666,-,-,411 - 466,-,-,511 - 566,-,611 - 636,641 - 666,-,411 - 424,-,425 - 453,-,454 - 546,-,551 - 614,615 - 642,643 - 666,Zimbabwe,Pace
171,M Jansen,411 - 442,443 - 534,535 - 544,-,545 - 625,-,626 - 635,636 - 656,661 - 666,411 - 521,522 - 545,546 - 614,-,615 - 642,-,-,643 - 666,-,-,-,-,-,-,-,-,-,-,South Africa,Pace
172,M Pathirana,411 - 453,-,454 - 525,-,526 - 634,-,635 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Sri Lanka,Pace
173,M Shumba,411 - 522,523 - 636,-,-,641 - 666,-,-,-,-,411 - 446,451 - 612,613 - 636,-,641 - 653,-,654 - 656,-,661 - 666,-,411 - 566,-,-,-,-,611 - 636,-,641 - 666,Zimbabwe,Spin
174,M Theekshana,411 - 526,531 - 616,621 - 631,-,632 - 646,-,651 - 653,654 - 662,663 - 666,411 - 454,455 - 621,622 - 633,634 - 634,635 - 646,-,651 - 652,653 - 661,662 - 666,411 - 453,454 - 611,612 - 614,-,615 - 621,-,622 - 626,631 - 644,645 - 666,Sri Lanka,Spin
175,M van Lingen,-,-,-,-,-,-,-,-,-,-,411 - 516,521 - 532,-,533 - 613,-,614 - 625,626 - 666,-,-,-,-,-,-,-,-,-,-,Namibia,Pace
176,MA Leask,-,411 - 521,-,-,522 - 555,-,556 - 666,-,-,411 - 465,466 - 611,612 - 632,-,633 - 636,-,641 - 646,651 - 656,661 - 666,411 - 523,524 - 614,615 - 626,-,-,-,631 - 654,-,655 - 666,Scotland,Spin
177,MA Starc,411 - 563,564 - 621,622 - 631,632 - 632,633 - 645,-,646 - 652,653 - 664,665 - 666,411 - 463,464 - 561,562 - 612,613 - 613,614 - 636,-,641 - 644,645 - 662,663 - 666,411 - 453,454 - 541,542 - 556,-,561 - 613,-,614 - 634,635 - 653,654 - 666,Australia,Pace
178,MA Wood,411 - 516,521 - 562,563 - 565,-,566 - 635,-,-,636 - 652,653 - 666,411 - 464,465 - 611,612 - 622,-,623 - 636,-,641 - 645,646 - 656,661 - 666,411 - 462,463 - 541,542 - 566,-,611 - 632,-,633 - 644,645 - 654,655 - 666,England,Pace
179,MC Henriques,-,-,-,-,-,-,-,-,-,411 - 521,522 - 642,643 - 666,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Australia,Pace
180,MD Gunathilaka,-,-,-,-,-,-,-,-,-,411 - 533,534 - 654,-,-,-,-,655 - 662,-,663 - 666,411 - 434,435 - 552,553 - 631,-,632 - 666,-,-,-,-,Sri Lanka,Spin
181,MD Shanaka,-,-,-,-,-,-,-,-,-,411 - 444,445 - 562,563 - 626,-,631 - 644,-,645 - 646,651 - 661,662 - 666,411 - 415,416 - 516,521 - 551,552 - 553,554 - 613,-,614 - 624,625 - 655,656 - 666,Sri Lanka,Pace
182,MG Bracewell,411 - 563,564 - 631,632 - 635,-,636 - 644,-,-,645 - 656,661 - 666,411 - 463,464 - 623,624 - 626,631 - 632,633 - 645,-,646 - 646,651 - 652,653 - 666,-,-,-,-,-,-,-,-,-,New Zealand,Spin
183,MG Erasmus,411 - 511,512 - 636,-,-,641 - 653,-,-,654 - 666,-,411 - 551,552 - 645,646 - 651,-,652 - 656,-,-,661 - 662,663 - 666,411 - 453,454 - 562,563 - 641,-,-,-,642 - 654,655 - 662,663 - 666,Namibia,Spin
184,MJ Santner,411 - 556,561 - 642,643 - 643,644 - 644,645 - 656,-,661 - 661,662 - 662,663 - 666,411 - 463,464 - 623,624 - 634,-,635 - 645,-,646 - 652,653 - 661,662 - 666,-,411 - 536,541 - 563,-,564 - 615,-,616 - 642,643 - 654,655 - 666,New Zealand,Spin
185,MJ Swepson,-,-,-,-,-,-,-,-,-,411 - 523,524 - 564,565 - 623,-,624 - 631,-,632 - 646,651 - 656,661 - 666,-,-,-,-,-,-,-,-,-,Australia,Spin
186,MJG Rippon,-,-,-,-,-,-,-,-,-,411 - 531,532 - 611,612 - 616,-,621 - 634,-,635 - 652,653 - 661,662 - 666,411 - 465,-,466 - 554,-,555 - 616,-,-,621 - 643,644 - 666,New Zealand,Spin
187,MM Ali,411 - 521,522 - 614,-,615 - 615,616 - 642,-,643 - 651,652 - 653,654 - 666,411 - 434,435 - 565,566 - 622,623 - 623,624 - 633,-,634 - 651,652 - 656,661 - 666,411 - 441,442 - 516,521 - 526,-,531 - 556,-,561 - 566,611 - 626,631 - 666,England,Spin
188,MP Stoinis,411 - 553,554 - 651,-,-,652 - 662,-,-,-,663 - 666,411 - 425,426 - 555,556 - 623,-,624 - 635,-,636 - 646,651 - 656,661 - 666,411 - 413,414 - 455,456 - 463,-,464 - 545,-,546 - 566,611 - 653,654 - 666,Australia,Pace
189,MR Adair,411 - 516,521 - 564,565 - 613,-,614 - 634,-,635 - 636,641 - 654,655 - 666,411 - 462,463 - 611,612 - 621,622 - 622,623 - 644,-,645 - 646,651 - 662,663 - 666,411 - 422,423 - 523,524 - 543,-,544 - 611,-,612 - 631,632 - 646,651 - 666,Ireland,Pace
190,MR Marsh,-,411 - 521,522 - 554,-,555 - 632,-,633 - 666,-,-,411 - 466,511 - 611,612 - 622,-,623 - 641,-,642 - 644,645 - 655,656 - 666,-,-,-,-,-,-,-,-,-,Australia,Pace
191,MRJ Watt,411 - 566,611 - 633,634 - 635,-,636 - 646,-,651 - 652,653 - 663,664 - 666,411 - 465,466 - 623,624 - 635,-,636 - 644,-,645 - 652,653 - 661,662 - 666,411 - 436,441 - 545,546 - 561,562 - 563,564 - 621,-,622 - 635,636 - 656,661 - 666,Scotland,Spin
192,MS Chapman,-,-,-,-,-,-,-,-,-,411 - 436,441 - 625,626 - 646,-,651 - 656,-,-,-,661 - 666,-,-,-,-,-,-,-,-,-,New Zealand,Spin
193,MW Parkinson,-,-,-,-,-,-,-,-,-,411 - 414,415 - 546,551 - 616,-,621 - 642,-,643 - 652,653 - 664,665 - 666,411 - 414,415 - 513,-,-,514 - 543,-,544 - 612,613 - 641,642 - 666,England,Spin
194,Mahedi Hasan,411 - 563,564 - 635,636 - 642,643 - 644,645 - 654,-,655 - 656,661 - 661,662 - 666,411 - 511,512 - 624,625 - 634,-,635 - 646,-,651 - 654,655 - 662,663 - 666,411 - 414,415 - 533,534 - 543,-,544 - 565,-,566 - 634,635 - 656,661 - 666,Bangladesh,Spin
195,Mahmudullah,-,-,-,-,-,-,-,-,-,411 - 521,522 - 634,635 - 644,-,645 - 653,-,654 - 661,662 - 663,664 - 666,-,411 - 433,-,-,434 - 461,-,462 - 552,-,553 - 666,Bangladesh,Spin
196,Mehedi Hasan Miraz,-,-,-,-,-,-,-,-,-,411 - 442,443 - 623,624 - 642,-,643 - 646,-,651 - 654,-,655 - 666,-,-,-,-,-,-,-,-,-,Bangladesh,Spin
197,Mohammad Hafeez,411 - 612,613 - 641,642 - 643,-,-,-,644 - 662,-,663 - 666,411 - 463,464 - 634,635 - 645,646 - 646,651 - 653,-,654 - 655,656 - 661,662 - 666,411 - 423,424 - 526,531 - 544,-,545 - 616,-,621 - 634,-,635 - 666,Pakistan,Spin
198,Mohammad Hasnain,411 - 513,514 - 563,564 - 611,612 - 612,613 - 643,-,644 - 646,651 - 656,661 - 666,411 - 431,432 - 545,546 - 566,-,611 - 634,-,635 - 642,643 - 661,662 - 666,411 - 462,463 - 546,551 - 561,-,562 - 625,-,626 - 644,645 - 656,661 - 666,Pakistan,Pace
199,Mohammad Nabi,411 - 443,444 - 565,566 - 621,-,622 - 644,-,645 - 656,661 - 663,664 - 666,411 - 445,446 - 566,611 - 631,-,632 - 652,-,653 - 654,655 - 656,661 - 666,-,-,-,-,-,-,-,-,-,Afghanistan,Spin
200,Mohammad Nawaz (3),411 - 523,524 - 614,615 - 621,622 - 622,623 - 644,-,645 - 655,656 - 661,662 - 666,411 - 435,436 - 621,622 - 632,-,633 - 651,-,652 - 656,661 - 661,662 - 666,-,411 - 546,-,-,551 - 566,-,611 - 626,631 - 646,651 - 666,Pakistan,Spin
201,Mohammad Saifuddin,411 - 512,513 - 566,611 - 616,621 - 623,624 - 643,-,644 - 645,646 - 664,665 - 666,411 - 425,426 - 561,562 - 613,-,614 - 635,-,636 - 643,644 - 654,655 - 666,411 - 431,432 - 532,533 - 555,556 - 561,562 - 634,-,635 - 646,651 - 661,662 - 666,Bangladesh,Pace
202,Mohammad Wasim,411 - 456,461 - 552,553 - 561,562 - 562,563 - 636,-,641 - 642,643 - 655,656 - 666,411 - 461,462 - 556,561 - 613,-,614 - 634,-,635 - 644,645 - 656,661 - 666,411 - 435,436 - 551,552 - 562,-,563 - 616,-,621 - 632,633 - 645,646 - 666,Pakistan,Pace
203,Mohammed Shami,411 - 512,513 - 563,564 - 612,-,613 - 635,-,636 - 651,652 - 663,664 - 666,411 - 531,532 - 632,-,-,633 - 643,-,644 - 654,655 - 662,663 - 666,411 - 433,434 - 523,524 - 546,551 - 554,555 - 613,614 - 616,621 - 631,632 - 635,636 - 666,India,Pace
204,Mohammed Siraj,411 - 534,535 - 642,-,-,643 - 653,-,654 - 656,661 - 663,664 - 666,-,411 - 514,515 - 612,-,613 - 634,-,635 - 666,-,-,411 - 454,455 - 542,543 - 562,-,563 - 634,-,-,635 - 662,663 - 666,India,Pace
205,Mosaddek Hossain,411 - 516,521 - 542,543 - 546,551 - 553,554 - 623,-,624 - 626,631 - 644,645 - 666,411 - 455,456 - 624,625 - 642,-,643 - 646,-,651 - 653,654 - 656,661 - 666,411 - 523,524 - 614,-,-,-,-,615 - 666,-,-,Bangladesh,Spin
